Vitel Mobile Inc,,,,,,,,,,,,,,,,
Inventory Valuation Summary,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,Part #,Description,,,Asset Account,,,,,Qty,, ,,Unit Cost,Asset Value,
,HY E502CFDS,HYUNDAI E502 COFFEE DS,,,Default,,,,,41,,ea,,$ 48.00,"$ 1,968.00",
,HY E502GDDS,HYUNDAI E502 GOLD DS,,,Default,,,,,54,,ea,,$ 48.00,"$ 2,592.00",
,HY E503FBKDS,HYUNDAI E503F BLACK DS,,,Default,,,,,6,,ea,,$ 48.46,$ 290.74,
,HY E503FGDDS,HYUNDAI E503F GOLD DS,,,Default,,,,,2,,ea,,$ 48.50,$ 96.99,
,HY E504GDDS,HYUNDAI E504 GOLD DS,,,Default,,,,,3,,ea,,$ 35.36,$ 106.08,
,HY E506GN,HYUNDAI E506 GREEN,,,Default,,,,,2,,ea,,$ 38.50,$ 77.00,
,HY E506GR,HYUNDAI E506 ULTRA BLUE (GREY),,,Default,,,,,1,,ea,,$ 38.50,$ 38.50,
,HY E535BKD,HYUNDAI E535 BLACK DS,,,Default,,,,,2,,ea,,$ 40.20,$ 80.40,
,HY E535WHPKD,HYUNDAI E535 WHITE/PINK DS,,,Default,,,,,1,,ea,,$ 41.88,$ 41.88,
,HY E545BKD,HYUNDAI GLO BLACK DS,,,Default,,,,,19,,ea,,$ 0.00,$ 0.00,
,HY E545BLD,HYUNDAI GLO BLUE DS,,,Default,,,,,45,,ea,,$ 1.16,$ 52.00,
,HY E545WHD,HYUNDAI GLO WHITE DS,,,Default,,,,,49,,ea,,$ 0.00,$ 0.00,
,HY E551BKDS,HYUNDAI E551 BLACK DS,,,Default,,,,,11,,ea,,$ 57.00,$ 627.00,
,HY E551GDDS,HYUNDAI E551 GOLD DS,,,Default,,,,,15,,ea,,$ 57.00,$ 855.00,
,HY E551LTBKDS,HYUNDAI E551 LITE BLACK DS,,,Default,,,,,35,,ea,,$ 54.27,"$ 1,899.45",
,HY E551LTGDDS,HYUNDAI E551 LITE GOLD DS,,,Default,,,,,28,,ea,,$ 54.47,"$ 1,525.13",
